(569, 'Club Brugge KV', 2021): 0.694	0.348	0.385	0.864	0.696	0.362	0.332	0.839	0.696	0.347	0.372	0.889	0.703	0.408	0.261	0.939	0.662	0.428	0.278	0.880	0.648	0.383	0.363	0.820	0.796	0.104	0.744	0.839	
(739, 'AS Eupen', 2021): 0.574	0.438	0.271	0.808	0.604	0.369	0.316	0.806	0.658	0.247	0.511	0.851	0.648	0.406	0.206	0.834	0.593	0.436	0.180	0.815	0.623	0.242	0.426	0.726	0.648	0.149	0.584	0.714	
(630, 'FC Sion', 2021): 0.597	0.338	0.329	0.776	0.597	0.354	0.304	0.754	0.637	0.286	0.415	0.830	0.644	0.427	0.242	0.902	0.581	0.355	0.237	0.777	0.601	0.328	0.290	0.703	0.663	0.077	0.626	0.697	
(2184, 'Servette FC', 2021): 0.610	0.319	0.368	0.778	0.628	0.320	0.356	0.762	0.664	0.362	0.349	0.903	0.654	0.437	0.203	0.891	0.575	0.410	0.212	0.773	0.581	0.426	0.209	0.744	0.679	0.039	0.662	0.697	
(1013, 'Grasshoppers', 2021): 0.560	0.320	0.317	0.718	0.599	0.297	0.332	0.715	0.661	0.288	0.423	0.859	0.627	0.408	0.247	0.830	0.552	0.385	0.182	0.816	0.580	0.340	0.303	0.723	0.667	0.049	0.636	0.683	
(551, 'FC Basel 1893', 2021): 0.641	0.296	0.374	0.784	0.649	0.326	0.337	0.768	0.695	0.250	0.464	0.852	0.668	0.339	0.283	0.883	0.603	0.415	0.186	0.857	0.566	0.529	0.187	0.740	0.739	0.128	0.670	0.788	
(1028, 'Ried', 2021): 0.561	0.276	0.346	0.717	0.596	0.289	0.326	0.740	0.636	0.392	0.269	0.838	0.621	0.395	0.271	0.918	0.547	0.387	0.215	0.769	0.532	0.393	0.227	0.681	0.655	0.117	0.596	0.702	
(601, 'Austria Vienna', 2021): 0.568	0.352	0.291	0.791	0.614	0.305	0.339	0.771	0.662	0.337	0.372	0.860	0.632	0.364	0.282	0.890	0.553	0.390	0.192	0.743	0.553	0.464	0.212	0.722	0.718	0.072	0.683	0.747	
(1405, 'Austria Klagenfurt', 2021): 0.552	0.303	0.316	0.693	0.580	0.280	0.286	0.687	0.633	0.333	0.370	0.874	0.621	0.414	0.274	0.867	0.545	0.337	0.257	0.757	0.542	0.384	0.198	0.669	0.654	0.074	0.615	0.684	
(1025, 'Wolfsberger AC', 2021): 0.596	0.361	0.307	0.803	0.614	0.376	0.308	0.811	0.657	0.337	0.340	0.912	0.645	0.355	0.251	0.866	0.576	0.418	0.139	0.806	0.587	0.328	0.313	0.721	0.669	0.073	0.629	0.701	
