match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1213688,Netherlands,Eredivisie,2024,Twente,Fortuna Sittard,0.4878644347190857,2.24,1.68,100.0,7.4851882073187115,0.0,1175,2025-04-05 16:45 UTC,7.49,16.78
1213992,France,Ligue 1,2024,Stade Brestois 29,Monaco,0.4403126835823059,2.5,1.59,100.0,6.718780597050984,0.0,1430,2025-04-05 17:00 UTC,6.72,0
1231972,Portugal,Primeira Liga,2024,Arouca,Famalicao,0.46778616309165955,1.72,2.18,100.0,0.0,13.578488513574763,815,2025-04-05 17:00 UTC,13.58,29.60
1234944,Italy,Serie B,2024,Juve Stabia,Salernitana,0.5196750164031982,1.56,2.41,100.0,0.0,11.17611421760938,1343,2025-04-05 17:30 UTC,11.18,0
1212691,France,Ligue 2,2024,Lorient,PAU,0.44638919830322266,2.43,1.55,100.0,5.924877753624557,0.0,1640,2025-04-05 18:00 UTC,5.92,0
1213687,Netherlands,Eredivisie,2024,Groningen,PSV Eindhoven,0.4737246334552765,2.28,1.67,100.0,6.257200334221122,0.0,2790,2025-04-05 18:00 UTC,6.26,0
1252649,Saudi-Arabia,Pro League,2024,Al-Ahli Jeddah,Al-Ittihad FC,0.4320458769798279,2.73,1.38,100.0,10.374869604331218,0.0,2747,2025-04-05 18:00 UTC,10.37,0
1203186,Poland,Ekstraklasa,2024,Lech Poznan,Korona Kielce,0.46468865871429443,1.73,1.99,100.0,0.0,6.5928857735913216,1612,2025-04-05 18:15 UTC,6.59,0
1208755,Spain,La Liga,2024,Barcelona,Real Betis,0.3724164068698883,3.17,1.39,100.0,8.320737777767095,0.0,2877,2025-04-05 19:00 UTC,8.32,26.37
1217867,Spain,Segunda División,2024,Sporting Gijon,Tenerife,0.5170295238494873,1.59,2.35,100.0,0.0,9.998564366941098,2847,2025-04-05 19:00 UTC,10.0,23.50
1231975,Portugal,Primeira Liga,2024,Guimaraes,Santa Clara,0.4928959608078003,1.48,2.71,100.0,0.0,21.886078725781356,1521,2025-04-05 19:30 UTC,21.89,0
