comp_name,season,comp_season_id,round_id,match_count,distinct_teams,regular_matches,non_regular_matches,inferred_round_type,first_match_date,last_match_date
India Indian Super League,2022,8342,94213,1,2,0,1,non-regular round type,2023-03-18T00:00:00+00:00,2023-03-18T00:00:00+00:00
India Indian Super League,2022,8342,94214,4,4,0,4,non-regular round type,2023-03-07T00:00:00+00:00,2023-03-13T00:00:00+00:00
India Indian Super League,2022,8342,94215,2,4,0,2,non-regular round type,2023-03-03T00:00:00+00:00,2023-03-04T00:00:00+00:00
India Indian Super League,2023,10625,103943,132,12,132,0,regular-season round type,2023-09-21T00:00:00+00:00,2024-04-15T00:00:00+00:00
India Indian Super League,2023,10625,103944,1,2,0,1,non-regular round type,2024-05-04T00:00:00+00:00,2024-05-04T00:00:00+00:00
India Indian Super League,2023,10625,103945,4,4,0,4,non-regular round type,2024-04-23T00:00:00+00:00,2024-04-29T00:00:00+00:00
India Indian Super League,2023,10625,103946,2,4,0,2,non-regular round type,2024-04-19T00:00:00+00:00,2024-04-20T00:00:00+00:00
Italy Serie A,2022,7608,91440,380,20,380,0,regular-season round type,2022-08-13T00:00:00+00:00,2023-06-04T00:00:00+00:00
Italy Serie A,2022,7608,99576,1,2,0,1,non-regular round type,2023-06-11T00:00:00+00:00,2023-06-11T00:00:00+00:00
Italy Serie B,2022,7864,92413,380,20,380,0,regular-season round type,2022-08-12T00:00:00+00:00,2023-05-19T00:00:00+00:00
Italy Serie B,2022,7864,92414,2,2,0,2,non-regular round type,2023-06-08T00:00:00+00:00,2023-06-11T00:00:00+00:00
Italy Serie B,2022,7864,92415,4,4,0,4,non-regular round type,2023-05-29T00:00:00+00:00,2023-06-03T00:00:00+00:00
Italy Serie B,2022,7864,92416,2,4,0,2,non-regular round type,2023-05-26T00:00:00+00:00,2023-05-27T00:00:00+00:00
Italy Serie B,2022,7864,92417,2,2,0,2,non-regular round type,2023-05-25T00:00:00+00:00,2023-06-01T00:00:00+00:00
Italy Serie B,2023,9808,101135,380,20,380,0,regular-season round type,2023-08-18T00:00:00+00:00,2024-05-10T00:00:00+00:00
Italy Serie B,2023,9808,101136,2,2,0,2,non-regular round type,2024-05-30T00:00:00+00:00,2024-06-02T00:00:00+00:00
Italy Serie B,2023,9808,101137,4,4,0,4,non-regular round type,2024-05-20T00:00:00+00:00,2024-05-25T00:00:00+00:00
Italy Serie B,2023,9808,101138,2,4,0,2,non-regular round type,2024-05-17T00:00:00+00:00,2024-05-18T00:00:00+00:00
Italy Serie B,2023,9808,101139,2,2,0,2,non-regular round type,2024-05-16T00:00:00+00:00,2024-05-23T00:00:00+00:00
Italy Serie B,2024,12621,111101,380,20,380,0,regular-season round type,2024-08-16T00:00:00+00:00,2025-05-13T00:00:00+00:00
Italy Serie B,2024,12621,111102,2,2,0,2,non-regular round type,2025-05-29T00:00:00+00:00,2025-06-01T00:00:00+00:00
Italy Serie B,2024,12621,111103,4,4,0,4,non-regular round type,2025-05-21T00:00:00+00:00,2025-05-25T00:00:00+00:00
Italy Serie B,2024,12621,111104,2,4,0,2,non-regular round type,2025-05-17T00:00:00+00:00,2025-05-17T00:00:00+00:00
Italy Serie B,2024,12621,111105,2,2,0,2,non-regular round type,2025-06-15T00:00:00+00:00,2025-06-22T00:00:00+00:00
Netherlands Eredivisie,2021,5951,69596,306,18,306,0,regular-season round type,2021-08-13T00:00:00+00:00,2022-05-15T00:00:00+00:00
Netherlands Eredivisie,2021,5951,69597,2,2,0,2,non-regular round type,2022-05-26T00:00:00+00:00,2022-05-29T00:00:00+00:00
Netherlands Eredivisie,2021,5951,69598,4,4,0,4,non-regular round type,2022-05-19T00:00:00+00:00,2022-05-22T00:00:00+00:00
Netherlands Eredivisie,2022,7482,90847,306,18,306,0,regular-season round type,2022-08-05T00:00:00+00:00,2023-05-28T00:00:00+00:00
Netherlands Eredivisie,2022,7482,90848,2,2,0,2,non-regular round type,2023-06-08T00:00:00+00:00,2023-06-11T00:00:00+00:00
Netherlands Eredivisie,2022,7482,90849,4,4,0,4,non-regular round type,2023-06-01T00:00:00+00:00,2023-06-04T00:00:00+00:00
Netherlands Eredivisie,2023,9653,100519,306,18,306,0,regular-season round type,2023-08-11T00:00:00+00:00,2024-05-19T00:00:00+00:00
Netherlands Eredivisie,2023,9653,100520,1,2,0,1,non-regular round type,2024-05-26T00:00:00+00:00,2024-05-26T00:00:00+00:00
Netherlands Eredivisie,2023,9653,100521,2,4,0,2,non-regular round type,2024-05-23T00:00:00+00:00,2024-05-23T00:00:00+00:00
Netherlands Eredivisie,2024,12322,110009,306,18,306,0,regular-season round type,2024-08-09T00:00:00+00:00,2025-05-18T00:00:00+00:00
Netherlands Eredivisie,2024,12322,110010,1,2,0,1,non-regular round type,2025-05-25T00:00:00+00:00,2025-05-25T00:00:00+00:00
Netherlands Eredivisie,2024,12322,110011,2,4,0,2,non-regular round type,2025-05-22T00:00:00+00:00,2025-05-22T00:00:00+00:00
Scotland Premiership,2021,5992,70405,30,12,0,30,non-regular round type,2022-04-23T00:00:00+00:00,2022-05-15T00:00:00+00:00
Scotland Premiership,2021,5992,70406,198,12,198,0,regular-season round type,2021-07-31T00:00:00+00:00,2022-04-10T00:00:00+00:00
Scotland Premiership,2022,7494,90927,198,12,198,0,regular-season round type,2022-07-30T00:00:00+00:00,2023-04-23T00:00:00+00:00
Scotland Premiership,2022,7494,90928,30,12,0,30,non-regular round type,2023-05-06T00:00:00+00:00,2023-05-28T00:00:00+00:00
Scotland Premiership,2023,9636,100485,198,12,198,0,regular-season round type,2023-08-05T00:00:00+00:00,2024-04-17T00:00:00+00:00
Scotland Premiership,2023,9636,100486,30,12,0,30,non-regular round type,2024-04-27T00:00:00+00:00,2024-05-19T00:00:00+00:00
Scotland Premiership,2024,12455,110446,198,12,198,0,regular-season round type,2024-08-03T00:00:00+00:00,2025-04-13T00:00:00+00:00
Scotland Premiership,2024,12455,110447,30,12,0,30,non-regular round type,2025-04-26T00:00:00+00:00,2025-05-18T00:00:00+00:00
Spain Segunda División,2021,6120,71625,462,22,462,0,regular-season round type,2021-08-13T00:00:00+00:00,2022-05-29T00:00:00+00:00
Spain Segunda División,2021,6120,71626,2,2,0,2,non-regular round type,2022-06-11T00:00:00+00:00,2022-06-19T00:00:00+00:00
Spain Segunda División,2021,6120,71627,4,4,0,4,non-regular round type,2022-06-01T00:00:00+00:00,2022-06-05T00:00:00+00:00
Spain Segunda División,2022,7592,91355,462,22,462,0,regular-season round type,2022-08-12T00:00:00+00:00,2023-05-28T00:00:00+00:00
Spain Segunda División,2022,7592,91356,2,2,0,2,non-regular round type,2023-06-11T00:00:00+00:00,2023-06-17T00:00:00+00:00
Spain Segunda División,2022,7592,91357,4,4,0,4,non-regular round type,2023-06-03T00:00:00+00:00,2023-06-08T00:00:00+00:00
