comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
England Premier League,2021,6135,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2021-08-13T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Premier League,2022,7704,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2022-08-05T00:00:00+00:00,2023-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Premier League,2023,9660,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2023-08-11T00:00:00+00:00,2024-05-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
England Premier League,2024,12325,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2024-08-16T00:00:00+00:00,2025-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 1,2021,6019,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2021-08-06T00:00:00+00:00,2022-05-21T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 1,2022,7500,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2022-08-05T00:00:00+00:00,2023-06-03T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 1,2023,9674,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-08-11T00:00:00+00:00,2024-05-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 1,2024,12337,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-08-16T00:00:00+00:00,2025-05-17T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 2,2021,6018,20,382,380,2,0,2,0.005235602094240838,3,1,2,1,2,38,40,38.0,2021-07-24T00:00:00+00:00,2022-05-20T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 2,2022,7501,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2022-07-30T00:00:00+00:00,2023-06-02T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 2,2023,9621,20,382,380,2,0,2,0.005235602094240838,3,1,2,1,2,38,40,38.0,2023-08-05T00:00:00+00:00,2024-05-24T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
France Ligue 2,2024,12338,18,308,306,2,0,2,0.006493506493506494,3,1,2,1,2,34,36,34.0,2024-08-16T00:00:00+00:00,2025-05-17T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany 2. Bundesliga,2021,6020,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2021-07-23T00:00:00+00:00,2022-05-15T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany 2. Bundesliga,2022,7499,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2022-07-15T00:00:00+00:00,2023-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany 2. Bundesliga,2023,9656,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-07-28T00:00:00+00:00,2024-05-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Germany 2. Bundesliga,2024,12528,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-08-02T00:00:00+00:00,2025-05-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
